Epoch 5, Batch 2, Loss: 1.2686, Accuracy: 93.75%
Epoch 5, Batch 3, Loss: 0.7524, Accuracy: 87.50%
Epoch 5, Batch 4, Loss: 5.9561, Accuracy: 87.50%
Epoch 5, Batch 5, Loss: 1.7548, Accuracy: 81.25%
Epoch 5, Batch 6, Loss: 1.6017, Accuracy: 87.50%
Epoch 5, Batch 7, Loss: 2.5172, Accuracy: 81.25%
Epoch 5, Batch 8, Loss: 2.5296, Accuracy: 78.12%
Epoch 5, Batch 9, Loss: 0.9825, Accuracy: 84.38%
Epoch 5, Batch 10, Loss: 0.8063, Accuracy: 90.62%
Epoch 5, Batch 11, Loss: 1.1159, Accuracy: 81.25%
Epoch 5, Batch 12, Loss: 0.8424, Accuracy: 90.62%
Epoch 5, Batch 13, Loss: 0.9383, Accuracy: 87.50%
Epoch 5, Batch 14, Loss: 5.0365, Accuracy: 84.38%
Epoch 5, Batch 15, Loss: 1.0434, Accuracy: 84.38%
Epoch 5, Batch 16, Loss: 1.7748, Accuracy: 81.25%
Epoch 5, Batch 17, Loss: 2.2434, Accuracy: 87.50%
Epoch 5, Batch 18, Loss: 0.9590, Accuracy: 84.38%
Epoch 5, Batch 19, Loss: 1.7896, Accuracy: 81.25%
Epoch 5, Batch 20, Loss: 0.7780, Accuracy: 93.75%
Epoch 5, Batch 21, Loss: 0.9620, Accuracy: 87.50%
Epoch 5, Batch 22, Loss: 0.9070, Accuracy: 89.29%
Epoch 5 duration: 156.05 seconds
Epoch 6, Batch 1, Loss: 1.0410, Accuracy: 84.38%
Epoch 6, Batch 2, Loss: 1.3899, Accuracy: 93.75%
Epoch 6, Batch 3, Loss: 0.9269, Accuracy: 87.50%
Epoch 6, Batch 4, Loss: 4.1542, Accuracy: 87.50%
Epoch 6, Batch 5, Loss: 1.7403, Accuracy: 81.25%
Epoch 6, Batch 6, Loss: 1.5803, Accuracy: 87.50%
Epoch 6, Batch 7, Loss: 2.4349, Accuracy: 81.25%
Epoch 6, Batch 8, Loss: 2.4929, Accuracy: 78.12%
Epoch 6, Batch 9, Loss: 0.9747, Accuracy: 84.38%
Epoch 6, Batch 10, Loss: 0.7752, Accuracy: 90.62%
Epoch 6, Batch 11, Loss: 1.0237, Accuracy: 81.25%
Epoch 6, Batch 12, Loss: 0.7242, Accuracy: 90.62%
Epoch 6, Batch 13, Loss: 0.7623, Accuracy: 87.50%
Epoch 6, Batch 14, Loss: 6.6253, Accuracy: 84.38%
Epoch 6, Batch 15, Loss: 0.8318, Accuracy: 84.38%
Epoch 6, Batch 16, Loss: 1.6621, Accuracy: 81.25%
Epoch 6, Batch 17, Loss: 2.2949, Accuracy: 87.50%
Epoch 6, Batch 18, Loss: 0.8242, Accuracy: 87.50%
Epoch 6, Batch 19, Loss: 1.7185, Accuracy: 81.25%
Epoch 6, Batch 20, Loss: 0.6817, Accuracy: 93.75%
Epoch 6, Batch 21, Loss: 0.8733, Accuracy: 87.50%
Epoch 6, Batch 22, Loss: 0.8246, Accuracy: 89.29%
Epoch 6 duration: 155.86 seconds
Epoch 7, Batch 1, Loss: 0.9590, Accuracy: 84.38%
Epoch 7, Batch 2, Loss: 1.3348, Accuracy: 93.75%
Epoch 7, Batch 3, Loss: 0.8479, Accuracy: 87.50%
Epoch 7, Batch 4, Loss: 4.1968, Accuracy: 87.50%
Epoch 7, Batch 5, Loss: 1.7117, Accuracy: 81.25%
Epoch 7, Batch 6, Loss: 1.6264, Accuracy: 87.50%
Epoch 7, Batch 7, Loss: 2.5290, Accuracy: 81.25%
Epoch 7, Batch 8, Loss: 2.5085, Accuracy: 78.12%
Epoch 7, Batch 9, Loss: 0.9343, Accuracy: 84.38%
Epoch 7, Batch 10, Loss: 0.7386, Accuracy: 90.62%
Epoch 7, Batch 11, Loss: 1.0223, Accuracy: 81.25%
Epoch 7, Batch 12, Loss: 0.7387, Accuracy: 90.62%
Epoch 7, Batch 13, Loss: 0.8165, Accuracy: 87.50%
Epoch 7, Batch 14, Loss: 5.4342, Accuracy: 84.38%
Epoch 7, Batch 15, Loss: 0.9146, Accuracy: 84.38%
Epoch 7, Batch 16, Loss: 1.6844, Accuracy: 81.25%
Epoch 7, Batch 17, Loss: 2.3093, Accuracy: 87.50%
Epoch 7, Batch 18, Loss: 0.8151, Accuracy: 87.50%
Epoch 7, Batch 19, Loss: 1.7133, Accuracy: 81.25%
Epoch 7, Batch 20, Loss: 0.6446, Accuracy: 93.75%
Epoch 7, Batch 21, Loss: 0.8133, Accuracy: 87.50%
Epoch 7, Batch 22, Loss: 0.7568, Accuracy: 89.29%
Epoch 7 duration: 156.88 seconds
Epoch 8, Batch 1, Loss: 0.8690, Accuracy: 84.38%
Epoch 8, Batch 2, Loss: 1.2445, Accuracy: 93.75%
Epoch 8, Batch 3, Loss: 0.7072, Accuracy: 87.50%
Epoch 8, Batch 4, Loss: 4.6763, Accuracy: 87.50%
Epoch 8, Batch 5, Loss: 1.6346, Accuracy: 81.25%
Epoch 8, Batch 6, Loss: 1.6766, Accuracy: 87.50%
Epoch 8, Batch 7, Loss: 2.6161, Accuracy: 81.25%
Epoch 8, Batch 8, Loss: 2.4641, Accuracy: 78.12%
Epoch 8, Batch 9, Loss: 0.8663, Accuracy: 84.38%
Epoch 8, Batch 10, Loss: 0.7052, Accuracy: 90.62%
Epoch 8, Batch 11, Loss: 0.9870, Accuracy: 81.25%
Epoch 8, Batch 12, Loss: 0.7467, Accuracy: 90.62%
Epoch 8, Batch 13, Loss: 0.8278, Accuracy: 87.50%
Epoch 8, Batch 14, Loss: 5.2151, Accuracy: 84.38%
Epoch 8, Batch 15, Loss: 0.9177, Accuracy: 84.38%
Epoch 8, Batch 16, Loss: 1.6430, Accuracy: 81.25%
Epoch 8, Batch 17, Loss: 2.2579, Accuracy: 87.50%
Epoch 8, Batch 18, Loss: 0.8080, Accuracy: 84.38%
Epoch 8, Batch 19, Loss: 1.6721, Accuracy: 81.25%
